"x","y"
150.899,249.843
147.324,242.056
143.708,234.298
140.702,232.014
136.468,228.681
132.637,226.102
128.316,225.255
124.959,222.977
123.538,220.125
115.67,217.982
110.407,217.121
108.536,214.746
107.478,212.265
102.999,210.698
97.0454,209.571
89.5862,208.597
85.3933,207.919
82.9008,198.696
82.6945,194.331
81.9049,193.653
79.7635,192.254
77.4814,189.279
74.945,185.788
69.1581,178.286
64.9349,172.294
59.8306,167.081
58.8073,164.36
59.5519,159.337
60.5389,155.3
58.1974,153.36
51.11,147.916
48.0573,139.603
48.315,136.156
51.5515,136.355
53.6013,137.546
53.9905,136.219
52.793,133.624
50.612,130.1
51.1344,128.512
50.6752,125.789
49.2862,126.394
48.4943,128.397
46.9092,130.666
43.8394,129.344
40.5,127.815
39.7036,127.609
39.6672,124.97
39.0043,121.059
34.6055,115.831
32.7338,113.599
29.7578,109.742
27.0631,104.934
26.3829,100.864
25.6375,94.8905
26.0513,91.9049
23.7245,85.2495
19.2706,79.6391
16.2152,76.1414
16.2152,74.1953
18.7615,65.4651
21.2423,56.4507
21.6399,52.6143
20.0453,44.4031
21.0337,37.5909
28.5441,36.7217
37.3679,36.5839
46.1923,36.5357
55.016,36.5207
63.8402,36.5315
73.3211,36.5567
82.8019,36.5818
92.2829,36.607
92.4994,40.3112
92.6409,48.9756
92.7034,57.6414
92.7424,66.3063
92.764,74.9716
92.7782,82.8565
92.8006,90.7424
92.8481,98.6275
93.2089,106.487
99.8586,112.793
106.693,118.905
113.567,124.973
120.462,131.016
127.373,137.041
134.297,143.052
141.231,149.051
148.747,155.55
156.254,162.059
163.743,168.587
171.198,175.155
178.6,181.784
185.945,188.473
192.662,194.709
197.984,201.902
200.743,205.266
203.011,209.836
201.128,213.627
198.5,216.564
198.666,224.593
198.155,227.504
197.067,229.148
196.51,236.599
198.105,238.753
199.931,242.045
193.323,245.286
185.925,246.695
176.799,247.873
167.697,249.217
158.61,250.655
154.08,251.052
152.014,251.052
150.899,249.843
160.413,249.522
169.806,248.018
175.487,247.161
181.183,246.407
189.283,245.309
197.124,243.064
199.042,241.382
198.352,240.018
196.699,238.703
195.735,237.865
195.647,234.846
196.993,227.645
197.726,224.461
197.593,219.126
198.381,214.78
200.365,213.03
202.205,209.876
199.977,205.814
197.071,201.946
191.231,194.586
184.072,187.929
176.831,181.36
169.529,174.862
162.185,168.41
154.817,161.986
147.433,155.58
140.04,149.185
133.61,143.625
127.185,138.057
120.771,132.477
114.374,126.876
108.007,121.243
101.676,115.57
96.6173,110.978
92.0287,105.989
91.9229,97.4745
91.8735,88.9602
91.8375,80.4451
91.8108,71.9289
91.7819,63.4505
91.7385,54.9733
91.6744,46.4955
91.5214,38.0221
90.7432,37.4304
82.1022,37.2969
73.4574,37.2748
64.8142,37.2779
56.1693,37.2987
47.5252,37.3375
38.8806,37.4014
30.2381,37.5391
22.036,37.9331
20.2373,41.472
20.9076,44.1592
22.151,46.5289
22.5414,52.6143
22.2502,55.5247
20.4166,63.8201
18.3754,68.6104
17.0922,73.6265
16.975,75.7653
19.8008,78.9403
23.0609,82.8018
25.7465,87.073
26.8164,93.6908
27.0381,99.8865
27.8569,104.71
27.8569,106.644
30.478,109.196
33.4334,112.883
35.4517,115.384
39.7023,120.48
40.748,125.755
40.6163,126.83
43.4309,128.199
47.4418,128.898
49.0538,125.277
51.766,125.394
51.9563,128.894
53.373,132.938
54.7947,136.902
54.7121,138.207
53.6537,138.281
51.1421,137.157
49.4986,135.958
48.9069,139.889
51.8718,147.461
58.4157,152.397
61.3085,154.347
60.0461,160.188
59.6935,164.163
61.7359,167.508
65.9488,172.108
69.5287,177.233
72.977,182.181
76.9812,186.675
78.3923,188.993
81.0672,192.024
83.8164,199.015
85.9108,207.178
89.0888,207.524
96.8566,208.705
102.866,209.788
109.46,214.594
110.874,216.382
115.434,217.071
120.501,217.89
125.025,220.188
125.753,222.217
128.328,224.409
134.185,225.949
139.114,229.644
143.161,232.764
146.44,236.723
148.118,241.672
151.486,249.112
152.576,250.294
154.709,250.185
160.413,249.522
160.413,249.522
